station_id,name,address,lat,lon,is_virtual_station,capacity,points_of_interests,public_tansport,nearest_beach,distance_to_beach_m,rent_num,depo_num,night_rent_num,morning_rent_num,afternoon_rent_num,evening_rent_num,rent_num_right,bilans
4971,GDA370,Lawendowe wzgórze,54.3272251,18.5602068,true,17,0,0,Plaza Brzezno - Molo,10467.98472429355,3684,3653,890,873,1501,420,3684,-31
4970,GDA379,"Wydmy, 80-656 Gdańsk",54.373734401692076,18.72929096185743,true,10,1,0,Plaza Stogi,645.6138677300635,5894,5528,114,1055,3711,1014,5894,-366
4960,GDA373,Rondo Junony,54.419942,18.470406,true,21,0,0,Plaza Sopot,7161.702040838823,2190,2110,376,673,869,274,2190,-80
4959,GDA375,Letnicka,54.40059896726345,18.646700421007978,true,30,2,0,Plaza Brzezno - Molo,2041.7108601001007,8069,8261,1042,2887,3290,861,8069,192
4958,GDA388,Rondo Starogardzka/Czerska,54.3014250014771,18.607359939485804,true,21,0,2,Plaza Stogi,11483.285982301551,4693,4525,975,1335,1930,454,4693,-168
4957,GDA378,Radarowa,54.38908713,18.4822624,true,19,1,3,Plaza Jelitkowo,8550.380575559053,448,422,107,93,188,60,448,-26
4924,GDA385,Rondo Guderskiego/Flisykowskiego,54.32187,18.5608,true,20,0,1,Plaza Brzezno - Molo,11002.575541683773,3266,3052,488,930,1403,446,3266,-214
4923,GDA371,Jabłoniowa/Turzycowa,54.330873,18.557719,true,23,2,2,Plaza Brzezno - Molo,10164.44703780594,5314,5016,936,1444,2082,852,5314,-298
4922,GDA383,Jabłoniowa,54.33185,18.56417,true,14,2,2,Plaza Brzezno - Molo,9894.011071519295,4208,4087,630,1285,1685,610,4208,-121
4921,GDA386,Jaworzniaków,54.31798,18.56839,true,20,0,2,Plaza Brzezno - Molo,11236.442298134243,4391,4328,609,1103,2065,617,4391,-63
4920,GDA387,Jagiełły,54.30361022,18.61379527,true,20,0,0,Plaza Stogi,11025.985447241703,2693,2396,509,936,1029,222,2693,-297
4919,GDA382,Modra,54.34207,18.66896,true,16,1,1,Plaza Stogi,5451.260979588231,1331,1233,88,387,703,155,1331,-98
4918,GDA381,Rzęsna,54.34948,18.70621,true,21,0,0,Plaza Stogi,3476.190733696027,2252,2264,94,473,1420,265,2252,12
4917,GDA380,Kępna,54.35909,18.74597,true,18,1,2,Plaza Gorki Zachodnie,2424.8684422322003,429,276,38,110,215,66,429,-153
4916,KOS015,Wiejska,54.5752,18.49053,true,12,1,1,Plaza Gdynia Babie Doly,3516.919942935925,575,549,63,165,247,100,575,-26
4915,KOS016,Derdowskiego,54.56409,18.50585,true,23,0,1,Plaza Gdynia Babie Doly,3298.1774449416293,2686,2586,151,565,1423,549,2686,-100
4913,KOS014,Sezamkowa,54.5842,18.47796,true,18,0,0,Plaza Gdynia Babie Doly,4162.495177674141,1354,1483,210,425,565,154,1354,129
4912,KOS013,Słonecznikowa/Astrowa,54.59188,18.48759,true,12,0,0,Plaza Gdynia Babie Doly,3628.583908190886,845,831,60,240,430,117,845,-14
4911,KOS012,Lubczykowa,54.60501,18.47749,true,19,0,1,Plaza Gdynia Babie Doly,4757.800801192615,359,390,45,84,172,58,359,31
4910,GDA384,Czemińskiego/Guderskiego,54.32356,18.55579,true,25,0,1,Plaza Brzezno - Molo,10956.209112783901,4391,4515,281,1347,1990,773,4391,124
4908,GDA376,sucha,54.39393,18.64408,true,50,2,0,Plaza Brzezno - Molo,2530.7277789635987,16581,17872,2118,5024,6955,2492,16581,1291
4907,GDA374,Grudziądzka,54.39447645,18.62103389,true,35,1,0,Plaza Brzezno - Molo,2138.944627789891,14423,14526,1534,4452,6037,2403,14423,103
4906,GDA372,Narzędziowców,54.36375,18.64732,true,50,2,0,Plaza Stogi,5278.901845053862,14863,14816,1269,2114,6566,4926,14863,-47
4904,GDA366,Adamowicza,54.349959,18.574246,true,14,0,2,Plaza Brzezno - Molo,7788.378860411955,2528,2234,573,752,849,355,2528,-294
4903,GDA369,Lawendowe wzgórze,54.328892,18.568796,true,13,1,0,Plaza Brzezno - Molo,10086.200070506833,4857,4765,617,1365,2108,768,4857,-92
4902,GDA368,Warszawska,54.331717,18.570822,true,11,0,6,Plaza Brzezno - Molo,9745.882766185068,3800,3648,458,1044,1679,623,3800,-152
4901,GDA364,"Sobieszewo, Turystyczna",54.3439594,18.8305346,true,27,1,0,Plaza Sobieszewo,1305.1162242275989,2491,2029,34,846,1329,284,2491,-462
4900,GDA365,"Sobieszewo, Boguckiego",54.33499,18.933902,true,32,0,2,Plaza Swibno,2109.564040127311,1588,1358,24,539,832,193,1588,-230
